row_kind	source_item	related_experiments	data_family	original_denominator	standard_denominator_ids	standard_denominator	reference_cycles	operation_scope	conversion_status	conversion_formula	normalized_value_or_scope	comparability_group	allowed_comparison	forbidden_comparison	evidence	notes
data_mapping	T37	CX	고정/무작위 timing	독립 timing 표본	D-SAMPLE	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	Welch t over protocol-defined samples	run5/6 t-statistic	SAMPLE/CX/{run}/{class}/{cache}	동일한 버퍼·프로토콜 run5/6	결함 run1~4와 정본 혼합	논문_데이터_표.md T37; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T38	CT	CP-SAT seed 민감도	host solver seed 1개	D-SAMPLE	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	objective distribution across seeds	seed별 host objective	SAMPLE/CT/{seed}	같은 모델·입력·worker 조건	보드 cycle로 인용	논문_데이터_표.md T38; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T39	CY	누적 동결 ELF 5-run	같은 ELF A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	25.96/20.25/11.22 warm/18.30 cold%	PAIR-A/CY/{operation}/{cache}	CY 동일 ELF·cache	T20 절대 cycle과 baseline 혼동	논문_데이터_표.md T39; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T40	CZ	현재 보드 F/U	같은 재플래시 F 기준 연산	D-PAIR-F	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(F-U)/F	연산별 paired F/U effect	PAIR-F/CZ/{reflash}/{operation}	CZ 각 F/U 쌍	다른 재플래시 extrema 교차	논문_데이터_표.md T40; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T41	DA	33/43 후보	같은 입력 순차 커널	D-SEQ	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	100×(candidate-seq)/seq	직접 후보 음성	LOCAL-SEQ/DA/{kernel}	DA 내부	성공 누적값에 포함	논문_데이터_표.md T41; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T42	DB	전 조각 solver	정확성 실패로 성능 분모 없음	D-NOPERF	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	not_convertible	none	cycle 전량 무효	NO-PERFORMANCE-DENOMINATOR	정확성 실패 기록	실패 cycle을 어떠한 성능 비교에도 사용	논문_데이터_표.md T42; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T43	DC	Lenngren U' E2E	같은 ELF S' 기준 연산	D-PAIR-S	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(S'-U')/S'	연산별 U' paired effect; 음성	PAIR-S/DC/{operation}	DC S'/U' 동일 연산	T32 micro 효과를 별도 가산	논문_데이터_표.md T43; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T44	DD	DWT-off PMU A/B	같은 ELF A cycle 및 A 퇴직 명령	D-PAIR-A;D-PAIR-INST-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A; 100×(A_inst-B_inst)/A_inst	cycle 10.85–23.78%; instruction 9.23–27.08% 감소	PAIR-A/DD/{operation}/{cache}; PAIR-INST-A/DD/{operation}/{cache}	DD 내부 동일 연산·cache·PMU 구성	DWT cycle과 합치기; stall 0으로 해석; 예비 no-wrap 로그 인용	논문_데이터_표.md T44; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T45	DE	최소 배포 프록시·stack	같은 BSP·빌드 manifest의 A 바이트	D-RESOURCE-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	direct_and_derived	bytes; 100×(B_bytes-A_bytes)/A_bytes	비휘발 +34,308 B/+111.53%; 정적 RAM +2,040 B/+138.40%; max stack 10,264 B	RESOURCE-A/DE/{metric}	DE A/B의 같은 자원 종류 및 연산별 stack	expCJ 결합 section과 감산; 타 플랫폼 순수 라이브러리 크기로 해석	논문_데이터_표.md T45; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T46	DF	M85 잔여 병목 micro-gate	같은 입력·빌드의 scalar/독립 기준 커널	D-SEQ	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	100×(A-B)/A	MVE cswap 46.851%; paired inversion 47.487%; 실패 후보 2개	LOCAL-SEQ/DF/{gate}	DF 내부의 같은 gate A/B	micro 이득을 전체 X-Wing 이득으로 승격	논문_데이터_표.md T46; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T47	DH	MVE cswap·paired inversion 전체 경로	같은 ELF A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	encaps 결합 4.226–4.228%; warm/cold 1.707–1.709/0.928%	PAIR-A/DH/{operation}/{cache}	DH 내부 동일 연산·cache	T39 개선률과 합산·곱셈	논문_데이터_표.md T47; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T48	DI	dual-beat cswap 스케줄	같은 입력 순차 cswap 또는 같은 ELF A 경로	D-SEQ;D-PAIR-A;D-INST	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A; cycles/instruction	micro 12.883%; E2E 0.162–0.309%; 최종 기각	LOCAL-SEQ/DI/cswap; PAIR-A/DI/{operation}/{cache}	DI 내부 동일 스케줄·경로	stall 0을 인과 증명으로 해석; 최종 총계에 포함	논문_데이터_표.md T48; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T49	DJ	최초 A0→최종 B8 직접 총효과	같은 ELF A0 기준 연산과 같은 wrapper의 A0 자원	D-PAIR-A;D-RESOURCE-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	direct_and_derived	100×(A0-B8)/A0; bytes	19.52/19.75/11.66/15.48%; 동일 경로 stack 차이 0	PAIR-A/DJ/{run}/{operation}/{cache}; RESOURCE-A/DJ/{metric}	DJ 동일 ELF·연산·cache·wrapper	T39/T47 개선률을 더하거나 dispatcher-free 배포값으로 해석	논문_데이터_표.md T49; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
